-2.4971753736436106e+00,1.6935911123108536e+01,1.6372631437676048e+01,1.5628880621450971e+01
-2.4471400522168985e+00,1.6376258770028521e+01,1.5910495789387499e+01,1.5647722625604928e+01
-2.3971047307901863e+00,1.5827066390635498e+01,1.5448896960843010e+01,1.5513427567112108e+01
-2.3470694093634741e+00,1.5288333984929457e+01,1.4988468459659162e+01,1.5258641448380212e+01
-2.2970340879367619e+00,1.4760061552910400e+01,1.4529819716628255e+01,1.4911302592016279e+01
-2.2469987665100497e+00,1.4242249094578330e+01,1.4073536509354764e+01,1.4495129438090970e+01
-2.1969634450833375e+00,1.3734896609933246e+01,1.3620181385891783e+01,1.4030073426885194e+01
-2.1469281236566253e+00,1.3238004098975146e+01,1.3170294088377505e+01,1.3532738529774305e+01
-2.0968928022299131e+00,1.2751571561704035e+01,1.2724391976671658e+01,1.3016768957661904e+01
-2.0468574808032010e+00,1.2275598998119907e+01,1.2282970451991991e+01,1.2493206543131540e+01
-1.9968221593764888e+00,1.1810086408222764e+01,1.1846503380550711e+01,1.1970819259241269e+01
-1.9467868379497766e+00,1.1355033792012607e+01,1.1415443517190951e+01,1.1456402304642559e+01
-1.8967515165230644e+00,1.0910441149489436e+01,1.0990222929023226e+01,1.0955053151461508e+01
-1.8467161950963522e+00,1.0476308480653250e+01,1.0571253419061890e+01,1.0470421919136824e+01
-1.7966808736696400e+00,1.0052635785504052e+01,1.0158926949861604e+01,1.0004938404165678e+01
-1.7466455522429278e+00,9.6394230640418357e+00,9.7536160671537893e+00,9.5600170624649081e+00
-1.6966102308162156e+00,9.2366703162666077e+00,9.3556743234830773e+00,9.1362412078117003e+00
-1.6465749093895035e+00,8.8443775421783641e+00,8.9654367018437870e+00,8.7335276565843216e+00
-1.5965395879627913e+00,8.4625447417771067e+00,8.5832200393163678e+00,8.3512730157800164e+00
-1.5465042665360791e+00,8.0911719150628354e+00,8.2093234507038648e+00,7.9884827780437346e+00
-1.4964689451093669e+00,7.7302590620355494e+00,7.8440287521683842e+00,7.6438843541978576e+00
